account_id,holder_name,account_no,ifsc,phone,email,ip
ACC00001,Anay Shanker,104332181960,DAS-0013389,1819600133,cchoudhary@dewan.com,181.27.237.216
ACC00002,Shlok Dewan,083863794026,CHOK0542351,1615594078,kashvi31@gmail.com,146.133.85.19
ACC00003,Mehul Verma,161559407816,GUPT0184959,5255341928,navya83@hotmail.com,35.148.124.195
ACC00004,Arhaan Swaminathan,310341316475,IYER0255341,3953767242,lyadav@yahoo.com,40.218.109.97
ACC00005,Divij Shroff,928327648350,VASA0305641,2691669784,faiyaz46@gmail.com,24.109.174.220
ACC00006,Dishani Bera,395376724238,DIXI0849696,2528809570,darajiya@basak.info,162.3.29.117
ACC00007,Nirvi Khanna,532871012269,BUTA0166978,3834657871,rajaishita@gmail.com,128.117.208.149
ACC00008,Rhea Raval,480184514627,CONT0048281,5183473829,gchandran@gmail.com,150.172.207.183
ACC00009,Zain Kaur,489325288095,BALA0701543,0651333872,dhanukkant@hotmail.com,64.241.202.234
ACC00010,Suhana Vala,039117182278,CHAC0248963,7360260647,kanavdivan@gmail.com,194.62.107.169
ACC00011,Bhavin Bakshi,834657871331,KHAR0509839,0812191361,kadakianirvi@mandal.com,103.65.185.106
ACC00012,Prerak Hora,301031051834,SAMP0738299,7510799118,darshit35@brar-kanda.net,128.128.44.124
ACC00013,Nitara Ben,737631165667,DEOX0010651,8244935348,rthakkar@agarwal.com,144.195.224.7
ACC00014,Seher Kant,333872624731,SAST0781080,1128059826,yogitaimur@gmail.com,134.148.43.176
ACC00015,Vanya Mammen,132677360260,RAO-0647468,3226025634,mchoudhry@gill-dua.com,115.23.15.67
ACC00016,Shalv Dewan,723430980500,SOMX0978820,8685014294,samiha56@hotmail.com,196.118.107.217
ACC00017,Kashvi Chandran,812191361939,BAIN0909169,0883561595,zgade@hotmail.com,40.37.123.189
ACC00018,Aaina Salvi,985435346247,SAND0510799,9946804436,rkant@gmail.com,10.183.14.82
ACC00019,Raunak Kurian,118384251354,RAVE0278498,3433200379,zkota@borah.com,211.105.41.194
ACC00020,Madhup Chakrabarti,084124118244,"LAD,0935348",1727889579,shanayavenkataraman@yahoo.com,23.233.99.78
ACC00021,Tiya Sood,740164005242,KIBE0786801,7143455812,chiragjohal@gandhi-madan.info,45.60.198.79
ACC00022,Vidur Zachariah,128059826204,SARI0505331,7054668893,yatwal@yahoo.com,153.224.83.7
ACC00023,Anahita Bhatt,586923226025,LOKE0634216,1627204653,suhana64@gmail.com,17.170.175.108
ACC00024,Mamooty Sachar,073375433036,SRID0541458,0330923271,ivan99@hotmail.com,181.61.145.201
ACC00025,Emir Mann,685014294019,DUGA0655698,6319314919,darshit85@gmail.com,168.250.251.183
ACC00026,Adah Golla,169340608835,WALL0615951,6284987769,alisha37@ramaswamy.com,84.205.8.57
ACC00027,Aradhya Cherian,484656482366,SUR-0299468,4948083136,ykapur@gmail.com,78.46.162.175
ACC00028,Rania Dara,044369957773,SAIN0872148,7885685574,sakshambhasin@loyal.com,99.223.163.130
ACC00029,Samaira Raja,951343320037,RAJU0917693,4352408240,abehl@dhar.info,35.73.193.150
ACC00030,Anvi Bhandari,676320163287,IYER0083172,9022941318,ckar@vasa-raja.biz,35.218.208.52
ACC00031,Tarini Chawla,788957986872,CHER0774348,2328120679,renee47@sankar.com,163.42.68.123
ACC00032,Farhan Magar,734714345581,SABH0223623,2102499471,fkanda@hotmail.com,91.166.91.143
ACC00033,Lavanya Dass,166587603669,BATH0096705,4902787429,yuvraj-55@hotmail.com,74.74.244.85
ACC00034,Zain Saran,466889373467,DHAW0065627,8071545168,chandraela@yahoo.com,159.231.79.153
ACC00035,Tara Bal,298069901627,DEOL0204653,4771093248,farhankashyap@sabharwal.info,206.85.187.131
ACC00036,Zeeshan Tiwari,755646417080,KEER0531003,8263982146,samaira49@sahni.com,31.127.185.130
ACC00037,Shamik Majumdar,309232719374,GULA0529912,3963605766,divyansh71@kari.com,41.225.13.227
ACC00038,Anaya Srinivas,419049663193,GARA0149190,1586578091,wbawa@sarraf.info,108.202.156.240
ACC00039,Azad Gaba,586518506716,DINX0572628,6238692221,jmanne@kashyap.com,16.76.251.214
ACC00040,Reyansh Sandhu,498776945314,BRAR0737996,9464743671,rati40@hotmail.com,32.132.173.85
ACC00041,Mahika Sharma,507527354549,THAM0480831,3953394210,divijdivan@yahoo.com,181.158.215.238
ACC00042,Hansh Srivastava,367837770143,VORA0634957,2474517123,qamble@bhatia.com,151.198.57.96
ACC00043,Pari Dada,885685574443,AROR0135182,9317461200,heerbir@karan-goyal.net,41.227.180.3
ACC00044,Neysa Bawa,337498941343,RAND0524082,0537735158,gatikvala@yahoo.com,77.147.36.70
ACC00045,Badal Srivastava,400842710947,DARA0775204,1839335290,faiyazsahota@gmail.com,86.237.113.3
ACC00046,Khushi Edwin,711671902294,CHAH0131869,2681177589,sethvardaniya@lad.com,94.167.163.187
ACC00047,Aaryahi Sankar,993867749649,KORP0909133,1159212499,mkrishnan@yahoo.com,71.82.143.96
ACC00048,Adah Kara,412328120679,JHAV0740344,6615654527,vbava@grewal.net,85.24.235.113
ACC00049,Zain Goel,713493618324,SHET0210249,4945198327,singhranbir@hotmail.com,118.221.164.248
ACC00050,Mahika Saha,947174648877,DEOL0190659,4550229612,dkadakia@brar-goyal.com,178.183.247.210
ACC00051,Indrans Brar,401399049027,BAKS0874296,7679764381,qlall@yahoo.com,89.75.254.210
ACC00052,Aarush Chaudry,717565512567,CHER0468071,4451076226,issacseher@gmail.com,30.182.78.138
ACC00053,Saksham Mani,545168087603,MANG0859770,4160529751,flala@yahoo.com,218.221.74.246
ACC00054,Shamik Sood,348247710932,BARA0480861,8835523124,chakrabartitrisha@koshy.org,190.93.110.142
ACC00055,Mishti Dugar,317127484677,KANN0378263,7449058147,dhanuk19@hotmail.com,15.103.68.86
ACC00056,Alisha Tailor,982146584044,SACH0997278,8207151820,umang46@soman-gara.org,85.106.229.27
ACC00057,Shalv Batta,755886753396,SANE0360576,9251925462,gokul81@hotmail.com,151.40.49.10
ACC00058,Taran Dubey,627028951718,CHHA0702621,3322141888,kbose@thakur.org,162.166.12.101
ACC00059,Azad Jha,745961586578,SAND0091343,7947383473,vanya68@hotmail.com,42.95.41.63
ACC00060,Zaina Ramakrishnan,161172400504,VISW0556238,7581814124,choudhryalisha@yahoo.com,207.81.181.120
